Example,Alt,Bar,Fri,Hun,Pat,Price,Rain ,Res,Type,Est,Target
x56,T,F,F,T,None,$$$,T,T,Burger,10-30,F
x57,T,F,T,T,None,$,T,F,French,30-60,T
x58,T,F,T,T,Some,$,T,T,Burger,30-60,F
x59,F,F,F,T,Some,$$,F,F,Burger,0-10,F
x60,T,T,F,T,Some,$,T,T,French,0-10,T
x61,F,T,F,F,None,$$$,F,T,Thai,30-60,F
x62,F,T,T,T,Some,$$$,T,F,Thai,>60,T
x63,T,F,T,F,Some,$,T,F,Italian,0-10,T
x64,F,F,F,F,Some,$,F,T,Burger,>60,T
x65,F,F,F,T,Some,$$$,F,T,Thai,0-10,T
x66,T,T,F,F,None,$$,F,F,French,10-30,F
x67,F,T,T,F,Full,$$$,F,F,Burger,>60,F
x68,T,T,F,T,None,$$$,F,T,Italian,30-60,F
x69,T,T,F,F,None,$,T,T,Italian,30-60,F
x70,T,T,T,F,Some,$$,T,F,Burger,0-10,T
x71,F,T,F,F,Some,$$$,F,F,French,>60,T
x72,F,F,F,T,None,$,F,T,Italian,30-60,F
x73,T,T,T,T,Full,$$$,F,T,Italian,0-10,T
x74,T,T,F,F,Some,$,T,F,Thai,0-10,T
x75,T,T,F,F,Full,$$,T,T,French,10-30,F
x76,F,F,T,T,None,$$,T,F,French,0-10,T
x77,F,T,F,F,Full,$,F,F,Burger,30-60,F
x78,F,T,T,F,None,$,T,T,Burger,0-10,F
x79,T,F,T,F,None,$,F,F,French,30-60,F
x80,T,T,F,T,Some,$$$,T,F,Burger,30-60,T
x81,T,F,F,T,None,$$$,T,F,Italian,0-10,F
x82,F,F,T,T,Full,$$$,F,T,Italian,10-30,F
x83,T,F,F,F,Full,$$$,T,T,French,0-10,F
x84,F,T,F,T,None,$$,F,T,French,0-10,F
x85,T,F,T,T,Full,$,T,F,Thai,30-60,T
x86,T,T,F,F,Full,$$$,F,T,Burger,10-30,F
x87,F,T,T,F,None,$$,F,F,Burger,10-30,F
x88,F,T,F,T,Full,$$,F,F,French,10-30,T
x89,F,T,F,T,Some,$$,F,F,French,30-60,T
x90,F,T,T,T,None,$$$,F,T,French,0-10,T
x91,F,F,T,T,Some,$,T,T,Burger,>60,T
x92,F,T,T,T,None,$,F,T,Burger,30-60,T
x93,F,T,T,T,Full,$$$,T,F,French,>60,T
x94,T,T,T,F,Some,$,T,T,Thai,0-10,T
x95,T,F,F,T,Full,$$$,T,F,Burger,10-30,F
x96,F,F,T,T,None,$,F,T,Italian,0-10,T
x97,T,T,T,F,Some,$$$,F,T,Italian,10-30,T
x98,F,T,F,F,None,$$$,T,T,Burger,10-30,F
x99,F,F,F,F,Some,$$,T,T,Italian,30-60,T
x100,F,F,T,T,Full,$$,F,F,Italian,0-10,T
